,,Max Rend Armor Multiplier,0:06:24,,Attack Speed,lvl 2,0d  0h  6m,447.264 621%,59.79 B,0d  0h 13m,,CL Quantity,lvl 2,30⧌,1.182 401%,147.48 B,94 ⧌,,,,,,,,,,,Super Crit Chance,11.37%,0%,,Multishot Chance,,-,,,99,99,49.50%,,,,-,,59.50%,,,,Ultimate Crit,Lvl 1,1.00%,TRUE,,lvl 6,x1.12,x0.12,x0.18,x1.12,x1.12,0.6%,x1.12,x1.18,x950,14s,106%,106%,x14.0,x0.34,x10.0,,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,BS no BA,x3.12,1.00,1.02,100%,100%,x1.00,x1.00,"8,473,414",85%,85%,11.87,10.00%,7.20,16.50,17.88,x1.86,x4.09,x81.93,3.98%,1.81,x1.50,x1.00,x1.00,x372.27,100.00%,1.00,0.58,43.76,0.00,0.00,1.50,5.113E+01,5.979E+10,,1.04,6.10E+10,6.15E+10,,6.02E+10,6.00E+10,6.03E+10,6.07E+10,,,6.04E+10,6.04E+10,5.98E+10,,,,,,,,,,,441.176471%,170.942897%,247.171086%,,172.408197%,0.327838%,0.747716%,6.986824%,,,14.545455%,0.960640%,0.006090%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Spotlight Missiles,0:06:24,,Damage,lvl 2,0d  0h  6m,441.176 471%,60.96 B,0d  0h 20m,,CL Damage,lvl 6,29⧌,1.341 447%,204.85 B,123 ⧌,,,,,,,,,,,Super Crit Multi,12.01%,0,,Multishot Targets,,-,,,7,7,9,,,,-,,9,,,,Package Chance,Lvl 1,15%,TRUE,,lvl 7,x1.14,x0.14,x0.21,x1.14,x1.14,0.7%,x1.14,x1.21,x975,13s,107%,107%,x15.5,x0.38,x11.5,,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.04,100%,100%,x1.00,x1.00,"8,639,559",85%,85%,11.87,10.00%,7.20,16.50,17.88,x1.86,x4.09,x81.93,3.98%,1.81,x1.50,x1.00,x1.00,x372.27,100.00%,1.00,0.58,43.76,0.00,0.00,1.50,5.113E+01,6.096E+10,,1.06,6.21E+10,6.27E+10,,6.14E+10,6.12E+10,6.15E+10,6.18E+10,,,6.16E+10,6.16E+10,6.10E+10,,,,,,,,,,,168.855535%,170.942897%,247.171086%,,172.408197%,0.327838%,0.747716%,6.986824%,,,14.545455%,0.960640%,0.006090%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,Standard Perks Bonus,0:16:24,,Critical Factor,lvl 3,0d  0h 16m,247.171 086%,62.68 B,0d  0h 36m,,CL Damage,lvl 7,35⧌,1.000 242%,276.57 B,158 ⧌,,,,,,,,,,,Max Rend Armor Multi,-,0,,Rapid Fire Chance,,-,,,85,85,34.00%,,,,-,,34.00%,,,,Wave Accelerator,Lvl 1,30%,TRUE,,lvl 8,x1.16,x0.16,x0.24,x1.16,x1.16,0.8%,x1.16,x1.24,"x1,000",12s,108%,108%,x17.0,x0.42,x13.0,,3,3,4,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,UW,,1.00,1.04,100%,100%,x1.00,x1.00,"8,639,559",85%,85%,12.21,10.00%,7.20,16.96,18.34,x1.86,x4.09,x81.93,3.98%,1.81,x1.50,x1.00,x1.00,x372.27,100.00%,1.00,0.58,43.76,0.00,0.00,1.50,5.128E+01,6.268E+10,,1.06,6.39E+10,6.44E+10,,6.32E+10,6.29E+10,6.32E+10,6.36E+10,,,6.33E+10,6.33E+10,6.27E+10,,,,,,,,,,,168.855535%,170.942697%,125.120071%,,172.390509%,0.327909%,0.747872%,6.986107%,,,14.545455%,0.960640%,0.006094%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,Improve Trade-off Perks,0:06:24,,Damage / Meter,lvl 2,0d  0h  6m,172.390 509%,63.16 B,0d  0h 42m,,CL Damage,lvl 8,41⧌,0.885 434%,376.97 B,199 ⧌,,,,,,,,,,,MultiShot Chance,4.16%,10%,,Rapid Fire Duration,,-,,,99,99,5.55,,,,-,,5.55,,,,,,,,,lvl 9,x1.18,x0.18,x0.27,x1.18,x1.18,0.9%,x1.18,x1.27,"x1,025",11s,109%,109%,x18.5,x0.46,x14.5,,3,3,4,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,UW Damage,1.04,1.00,1.04,100%,100%,x1.00,x1.00,"8,639,559",85%,85%,12.21,10.00%,7.20,16.96,18.34,x1.86,x4.09,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x375.55,100.00%,1.00,0.58,43.76,0.00,0.00,1.50,5.128E+01,6.316E+10,,1.06,6.44E+10,6.49E+10,,6.36E+10,6.34E+10,6.37E+10,6.41E+10,,,6.38E+10,6.38E+10,6.32E+10,,,,,,,,,,,168.855535%,170.944901%,125.115923%,,66.762822%,0.327909%,0.747976%,6.994020%,,,14.545455%,0.960640%,0.006048%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,Death Wave Damage Amplifier,0:16:24,,Attack Speed,lvl 3,0d  0h 16m,170.944 901%,64.39 B,0d  0h 59m,,CL Chance,lvl 3,26⧌,0.776 729%,453.1 B,225 ⧌,,,,,,,,,,,Multishot Targets,10.31%,0,,Bounce Shot Chance,,-,,,85,85,68.00%,Astral Deliverance,,0%,-,,68.00%,,,,Cards+, Stop labs at lvl:,,1,,lvl 10,x1.20,x0.20,x0.30,x1.20,x1.20,1.0%,x1.20,x1.30,"x1,050",10s,110%,110%,x20.0,x0.50,x16.0,,3,4,4,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,Wave dur.,32.30,1.00,1.04,100%,100%,x1.00,x1.00,"8,639,559",85%,85%,12.21,10.00%,7.20,16.96,18.34,x1.87,x4.16,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x382.88,100.00%,1.00,0.58,44.62,0.00,0.00,1.50,5.227E+01,6.439E+10,,1.06,6.56E+10,6.61E+10,,6.49E+10,6.46E+10,6.49E+10,6.53E+10,,,6.50E+10,6.50E+10,6.44E+10,,,,,,,,,,,168.855535%,87.105997%,125.115805%,,66.764967%,0.327909%,0.747979%,6.994244%,,,14.545455%,0.960640%,0.005932%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,Shock Multiplier,0:16:24,,Damage,lvl 3,0d  0h 16m,168.855 535%,65.62 B,0d  1h 15m,,CL Damage,lvl 9,47⧌,0.704 610%,603.16 B,272 ⧌,,,,,,,,,,,Rapid Fire Chance,3.16%,0%,,Bounce Shot Targets,,-,,,7,7,8,,,,-,,14,,,,Name,Value,ROI / ⧌,Active,,lvl 11,x1.22,x0.22,x0.33,x1.22,x1.22,1.1%,x1.22,x1.33,"x1,075",9s,111%,,x21.5,x0.54,x17.5,,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.06,100%,100%,x1.00,x1.00,"8,805,704",85%,85%,12.21,10.00%,7.20,16.96,18.34,x1.87,x4.16,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x382.88,100.00%,1.00,0.58,44.62,0.00,0.00,1.50,5.227E+01,6.562E+10,,1.08,6.69E+10,6.74E+10,,6.61E+10,6.59E+10,6.62E+10,6.66E+10,,,6.63E+10,6.63E+10,6.57E+10,,,,,,,,,,,86.162192%,87.105997%,125.115805%,,66.764967%,0.327909%,0.747979%,6.994244%,,,14.545455%,0.960640%,0.005932%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,Missile Amplifier,0:31:32,,Critical Factor,lvl 4,0d  0h 31m,125.115 805%,67.42 B,0d  1h 47m,,CL Damage,lvl 10,53⧌,0.607 452%,797.34 B,325 ⧌,,,,,,,,,,,Rapid Fire Duration,0.52%,0,,Super Crit Chance,,0,50,0.00%,50,100,10.00%,,,,0%,0%,10.00%,10%,10%,,Damage,x1.4,0.053%,FALSE,,lvl 12,x1.24,x0.24,x0.36,x1.24,x1.24,1.2%,x1.24,x1.36,"x1,100",8s,112%,,x23.0,x0.58,x19.0,,4,4,5,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.06,100%,100%,x1.00,x1.00,"8,805,704",85%,85%,12.54,10.00%,7.20,17.42,18.80,x1.87,x4.16,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x382.88,100.00%,1.00,0.58,44.62,0.00,0.00,1.50,5.243E+01,6.742E+10,,1.08,6.87E+10,6.92E+10,,6.79E+10,6.77E+10,6.80E+10,6.84E+10,,,6.81E+10,6.81E+10,6.75E+10,,,,,,,,,,,86.162192%,87.105885%,72.850084%,,66.757265%,0.327977%,0.748125%,6.993437%,,,14.545455%,0.960640%,0.005937%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,Mastery,0:31:32,,Attack Speed,lvl 4,0d  0h 31m,87.105 885%,68.71 B,0d  2h 18m,,CL Damage,lvl 11,61⧌,0.508 134%,1.04 T,386 ⧌,,,,,,,,,,,Bounce Shot Chance,6.48%,0%,,Super Crit Multiplier,,0,40,x1.00,60,120,x7.20,0,300,x1.00,-,,x7.2,7.20,7.20,,Attack Speed,x1.03,0.004%,FALSE,,lvl 13,x1.26,x0.26,x0.39,x1.26,x1.26,1.3%,x1.26,x1.39,"x1,125",7s,113%,,x24.5,x0.62,x20.5,,4,5,5,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.06,100%,100%,x1.00,x1.00,"8,805,704",85%,85%,12.54,10.00%,7.20,17.42,18.80,x1.87,x4.24,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x390.19,100.00%,1.00,0.58,45.47,0.00,0.00,1.50,5.342E+01,6.871E+10,,1.08,7.00E+10,7.05E+10,,6.92E+10,6.90E+10,6.93E+10,6.97E+10,,,6.94E+10,6.94E+10,6.87E+10,,,,,,,,,,,86.162192%,51.035718%,72.850009%,,66.759329%,0.327977%,0.748128%,6.993654%,,,14.545455%,0.960640%,0.005826%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
,,,0:31:32,,Damage,lvl 4,0d  0h 31m,86.162 192%,70 B,0d  2h 50m,,CL Quantity,lvl 3,75⧌,0.489 706%,1.43 T,461 ⧌,,,,,,,,,,,Bounce Shot Targets,0.10%,0,,Max Rend Mult ⚠️,FALSE,0,30,x8.00,-,,,0,300,x1.00,-,,x8.00,800%,,,Critical Chance,1%,0.007%,FALSE,,lvl 14,x1.28,x0.28,x0.42,x1.28,x1.28,1.4%,x1.28,x1.42,"x1,150",6s,114%,,x26.0,x0.66,x22.0,,5,5,5,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.08,100%,100%,x1.00,x1.00,"8,971,850",85%,85%,12.54,10.00%,7.20,17.42,18.80,x1.87,x4.24,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x390.19,100.00%,1.00,0.58,45.47,0.00,0.00,1.50,5.342E+01,7.000E+10,,1.10,7.13E+10,7.19E+10,,7.05E+10,7.03E+10,7.06E+10,7.10E+10,,,7.07E+10,7.07E+10,7.00E+10,,,,,,,,,,,50.552923%,51.035718%,72.850009%,,66.759329%,0.327977%,0.748128%,6.993654%,,,14.545455%,0.960640%,0.005826%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,DW Damage,0:52:45,,Critical Factor,lvl 5,0d  0h 52m,72.850 009%,71.87 B,0d  3h 43m,,CL Damage,lvl 12,71⧌,0.421 865%,1.86 T,532 ⧌,,,,,,,,,,,Core,,1.040,,Recovery Package Chance,,0,20,0.00%,40,60,22.00%,-,-,-,-,,37.00%,37.00%,37.00%,,Range (DPM),x1.20,0.010%,FALSE,,lvl 15,x1.30,x0.30,x0.45,x1.30,x1.30,1.5%,x1.30,x1.45,"x1,175",5s,115%,,x27.5,,x23.5,,5,5,6,1,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.08,100%,100%,x1.00,x1.00,"8,971,850",85%,85%,12.88,10.00%,7.20,17.89,19.26,x1.87,x4.24,x81.93,4.06%,1.83,x1.50,x1.00,x1.00,x390.19,100.00%,1.00,0.58,45.47,0.00,0.00,1.50,5.358E+01,7.187E+10,,1.10,7.32E+10,7.37E+10,,7.24E+10,7.21E+10,7.25E+10,7.29E+10,,,7.26E+10,7.26E+10,7.19E+10,,,,,,,,,,,50.552923%,51.035647%,46.820193%,,66.750793%,0.328041%,0.748266%,6.992759%,,,14.545455%,0.960640%,0.005831%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
,,DW Quantity,0:16:24,,Damage / Meter,lvl 3,0d  0h 16m,66.750 793%,72.42 B,0d  3h 59m,,CL Chance,lvl 4,44⧌,0.415 326%,2.2 T,576 ⧌,,,,,,,,,,,Substat Compared To:,,Next Tier,,Package After Boss,,0,1,-,-,-,-,,,10,-,,,43.30%,43.30%,,Super Tower,3s,0.030%,FALSE,,lvl 16,x1.32,x0.32,x0.48,x1.32,x1.32,1.6%,x1.32,x1.48,"x1,200",4s,116%,,x29.0,,x25.0,,5,5,6,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.08,100%,100%,x1.00,x1.00,"8,971,850",85%,85%,12.88,10.00%,7.20,17.89,19.26,x1.87,x4.24,x81.93,4.13%,1.85,x1.50,x1.00,x1.00,x393.60,100.00%,1.00,0.58,45.47,0.00,0.00,1.50,5.358E+01,7.242E+10,,1.10,7.38E+10,7.43E+10,,7.30E+10,7.27E+10,7.30E+10,7.35E+10,,,7.31E+10,7.31E+10,7.25E+10,,,,,,,,,,,50.552923%,51.036271%,46.818251%,,34.454131%,0.328041%,0.748368%,7.000561%,,,14.545455%,0.960640%,0.005787%,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
,,DW Cooldown,0:52:45,,Attack Speed,lvl 5,0d  0h 52m,51.036 271%,73.77 B,0d  4h 52m,,CL Damage,lvl 13,84⧌,0.338 463%,2.82 T,660 ⧌,,,,,,,,,,,Death Wave - Damage,0.55%,0,,Shockwave Frequency,,-,,,40,40,14 Sec,-,,,-,,14 Sec,1400%,NOT USED,,Ultimate Crit,0.33%,0.001%,FALSE,,lvl 17,x1.34,x0.34,x0.51,x1.34,x1.34,1.7%,x1.34,x1.51,"x1,225",3s,117%,,x30.5,,x26.5,,5,6,6,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,1.00,1.08,100%,100%,x1.00,x1.00,"8,971,850",85%,85%,12.88,10.00%,7.20,17.89,19.26,x1.87,x4.31,x81.93,4.13%,1.85,x1.50,x1.00,x1.00,x400.97,100.00%,1.00,0.58,46.32,0.00,0.00,1.50,5.457E+01,7.377E+10,,1.10,7.51E+10,7.57E+10,,7.43E+10,7.41E+10,7.44E+10,7.48E+10,,,7.45E+10,7.45E+10,7.38E+10,,,,,,,,,,,50.552923%,32.994843%,46.818199%,,34.455149%,0.328041%,0.748371%,7.000768%,,,14.545455%,0.960640%,0.005680%,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
